Time,device,humidity,temperature,Target
"April 26, 2023 at 09:02PM",Sensor_data,67,31,hot_and_humid
"April 26, 2023 at 09:02PM",Sensor_data,66,31,hot_and_humid
"April 26, 2023 at 09:07PM",Sensor_data,66,31,hot_and_humid
"April 26, 2023 at 09:22PM",Sensor_data,66,31,hot_and_humid
"April 26, 2023 at 09:37PM",Sensor_data,66,30,cool_and_humid
"April 26, 2023 at 09:52PM",Sensor_data,61,30,cool_and_humid
"April 26, 2023 at 10:36PM",Sensor_data,58,29,cool_and_dry
"April 26, 2023 at 10:51PM",Sensor_data,59,29,cool_and_dry
"April 26, 2023 at 11:06PM",Sensor_data,57,29,cool_and_dry
"April 26, 2023 at 11:21PM",Sensor_data,56,30,cool_and_dry
"April 26, 2023 at 11:36PM",Sensor_data,54,30,cool_and_dry
"April 26, 2023 at 11:51PM",Sensor_data,54,30,cool_and_dry
"April 27, 2023 at 12:06AM",Sensor_data,54,30,cool_and_dry
"April 27, 2023 at 12:21AM",Sensor_data,54,29,cool_and_dry
"April 27, 2023 at 12:36AM",Sensor_data,53,29,cool_and_dry
"April 27, 2023 at 12:51AM",Sensor_data,52,29,cool_and_dry
"April 27, 2023 at 01:06AM",Sensor_data,52,29,cool_and_dry
"April 27, 2023 at 01:21AM",Sensor_data,54,29,cool_and_dry
"April 27, 2023 at 01:36AM",Sensor_data,54,29,cool_and_dry
"April 27, 2023 at 01:51AM",Sensor_data,56,29,cool_and_dry
"April 27, 2023 at 02:06AM",Sensor_data,58,28,cool_and_dry
"April 27, 2023 at 02:21AM",Sensor_data,59,29,cool_and_dry
"April 27, 2023 at 02:36AM",Sensor_data,61,28,cool_and_humid
"April 27, 2023 at 02:51AM",Sensor_data,62,28,cool_and_humid
"April 27, 2023 at 03:06AM",Sensor_data,63,28,cool_and_humid
"April 27, 2023 at 03:21AM",Sensor_data,64,28,cool_and_humid
"April 27, 2023 at 03:36AM",Sensor_data,65,28,cool_and_humid
"April 27, 2023 at 03:51AM",Sensor_data,64,28,cool_and_humid
"April 27, 2023 at 04:06AM",Sensor_data,64,28,cool_and_humid
"April 27, 2023 at 04:21AM",Sensor_data,63,28,cool_and_humid
"April 27, 2023 at 04:36AM",Sensor_data,63,28,cool_and_humid
"April 27, 2023 at 04:51AM",Sensor_data,64,28,cool_and_humid
"April 27, 2023 at 05:06AM",Sensor_data,65,28,cool_and_humid
"April 27, 2023 at 05:36AM",Sensor_data,65,28,cool_and_humid
"April 27, 2023 at 05:51AM",Sensor_data,66,27,cool_and_humid
"April 27, 2023 at 06:06AM",Sensor_data,67,28,cool_and_humid
"April 27, 2023 at 06:21AM",Sensor_data,67,28,cool_and_humid
"April 27, 2023 at 06:36AM",Sensor_data,67,28,cool_and_humid
"April 27, 2023 at 06:51AM",Sensor_data,67,28,cool_and_humid
"April 27, 2023 at 07:06AM",Sensor_data,65,27,cool_and_humid
"April 27, 2023 at 07:21AM",Sensor_data,65,27,cool_and_humid
"April 27, 2023 at 07:36AM",Sensor_data,67,27,cool_and_humid
"April 27, 2023 at 07:51AM",Sensor_data,66,27,cool_and_humid
"April 27, 2023 at 08:06AM",Sensor_data,69,26,cool_and_humid
"April 27, 2023 at 08:21AM",Sensor_data,67,27,cool_and_humid
"April 27, 2023 at 08:36AM",Sensor_data,66,27,cool_and_humid
"April 27, 2023 at 08:51AM",Sensor_data,67,27,cool_and_humid
"April 27, 2023 at 09:06AM",Sensor_data,69,27,cool_and_humid
"April 27, 2023 at 09:21AM",Sensor_data,68,27,cool_and_humid
"April 27, 2023 at 09:36AM",Sensor_data,68,27,cool_and_humid
"April 27, 2023 at 09:51AM",Sensor_data,68,27,cool_and_humid
"April 27, 2023 at 10:06AM",Sensor_data,68,27,cool_and_humid
"April 27, 2023 at 10:21AM",Sensor_data,68,27,cool_and_humid
,,,,
,,,,
,,,,
"April 27, 2023 at 10:51AM",Sensor_data,74,26,cool_and_humid
"April 27, 2023 at 11:06AM",Sensor_data,77,25,cool_and_humid
"April 27, 2023 at 11:21AM",Sensor_data,76,25,cool_and_humid
"April 27, 2023 at 11:36AM",Sensor_data,75,26,cool_and_humid
"April 27, 2023 at 11:51AM",Sensor_data,75,26,cool_and_humid
"April 27, 2023 at 12:06PM",Sensor_data,73,27,cool_and_humid
"April 27, 2023 at 12:21PM",Sensor_data,69,27,cool_and_humid
"April 27, 2023 at 12:36PM",Sensor_data,67,28,cool_and_humid
"April 27, 2023 at 12:51PM",Sensor_data,64,28,cool_and_humid
"April 27, 2023 at 01:06PM",Sensor_data,65,29,cool_and_humid
"April 27, 2023 at 01:21PM",Sensor_data,63,29,cool_and_humid
"April 27, 2023 at 01:36PM",Sensor_data,62,29,cool_and_humid
"April 27, 2023 at 01:51PM",Sensor_data,58,30,cool_and_dry
"April 27, 2023 at 02:06PM",Sensor_data,58,30,cool_and_dry
"April 27, 2023 at 02:21PM",Sensor_data,57,31,hot_and_dry
"April 27, 2023 at 02:36PM",Sensor_data,58,31,hot_and_dry
"April 27, 2023 at 02:51PM",Sensor_data,55,31,hot_and_dry
"April 27, 2023 at 03:06PM",Sensor_data,55,31,hot_and_dry
"April 27, 2023 at 03:22PM",Sensor_data,57,32,hot_and_dry
"April 27, 2023 at 03:37PM",Sensor_data,56,32,hot_and_dry
"April 27, 2023 at 03:52PM",Sensor_data,53,32,hot_and_dry
"April 27, 2023 at 04:07PM",Sensor_data,52,32,hot_and_dry
"April 27, 2023 at 04:22PM",Sensor_data,51,32,hot_and_dry
"April 27, 2023 at 04:37PM",Sensor_data,50,32,hot_and_dry
"April 27, 2023 at 04:52PM",Sensor_data,51,32,hot_and_dry
"April 27, 2023 at 05:07PM",Sensor_data,52,32,hot_and_dry
"April 27, 2023 at 05:22PM",Sensor_data,52,32,hot_and_dry
"April 27, 2023 at 05:37PM",Sensor_data,54,32,hot_and_dry
"April 27, 2023 at 05:52PM",Sensor_data,55,31,hot_and_dry
"April 27, 2023 at 06:07PM",Sensor_data,56,31,hot_and_dry
"April 27, 2023 at 06:22PM",Sensor_data,56,31,hot_and_dry
"April 27, 2023 at 06:37PM",Sensor_data,57,31,hot_and_dry
"April 27, 2023 at 06:52PM",Sensor_data,57,31,hot_and_dry
"April 27, 2023 at 07:07PM",Sensor_data,58,31,hot_and_dry
"April 27, 2023 at 07:22PM",Sensor_data,59,31,hot_and_dry
"April 27, 2023 at 07:37PM",Sensor_data,59,31,hot_and_dry
"April 27, 2023 at 07:52PM",Sensor_data,60,31,hot_and_dry
"April 27, 2023 at 08:07PM",Sensor_data,59,28,cool_and_dry
"April 27, 2023 at 08:22PM",Sensor_data,58,28,cool_and_dry
"April 27, 2023 at 08:37PM",Sensor_data,56,27,cool_and_dry
"April 27, 2023 at 08:52PM",Sensor_data,59,27,cool_and_dry
"April 27, 2023 at 09:06PM",Sensor_data,73,25,cool_and_humid
"April 27, 2023 at 09:57PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 10:12PM",Sensor_data,75,28,cool_and_humid
"April 27, 2023 at 10:27PM",Sensor_data,73,28,cool_and_humid
"April 27, 2023 at 10:42PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 10:57PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 11:20PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 11:35PM",Sensor_data,74,28,cool_and_humid
"April 27, 2023 at 11:50PM",Sensor_data,73,28,cool_and_humid
"April 28, 2023 at 12:05AM",Sensor_data,71,28,cool_and_humid
"April 28, 2023 at 12:20AM",Sensor_data,71,28,cool_and_humid
